Event Name,Event Date,Event Location,Event Type,Event Region,Location Longitude,Location Latitude,Temperature,Min Temperature,Max Temperature,Humidity,Description,Weather Description
Black Dogs,2/15/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,-122.332319,47.6615049,4.42,2.73,7.36,91,light rain,light rain
Black History Month Keynote with Dr. Doretha Williams,2/15/2024,Northwest African American Museum,Museums,Capitol Hill / Central District,-122.30193399673912,47.589155399999996,5.07,3.05,7.82,89,overcast clouds,overcast clouds
Hear Me Talkin’ to You: Womxn and Blues,2/15/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.24,21.03,23.42,21,clear sky,clear sky
Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District,,,Not found,Not found,Not found,Not found,Not found,
My Dinner with SAM: Aaron Verzosa,2/15/2024,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,-122.31413540328062,47.63029565,4.29,2.44,7.21,90,overcast clouds,overcast clouds
Olympia Music History Project,2/15/2024,Washington State History Museum,Museums,South,-122.43608807502436,47.2447212,6.49,3.75,8.54,83,light intensity drizzle,light intensity drizzle
Radiolab,2/15/2024,Town Hall Seattle,Theatre,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Silversun Pickups,2/15/2024,The Moore Theatre,Music,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
The Brodies,2/15/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
Left on Tenth,2/16/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Marlon Wayans,2/16/2024,The Moore Theatre,Theatre,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Riley Mulherkar: Album Release Show,2/16/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.24,21.03,23.42,21,clear sky,clear sky
Yeah!,2/16/2024,Nectar Lounge,Music,Fremont / Ballard,-122.3538541520202,47.6523876,4.77,3.07,7.7,90,overcast clouds,overcast clouds
Circa:Humans 2.0,Now through 2/17/2024,Meany Center for the Performing Arts,Theatre,University District,,,Not found,Not found,Not found,Not found,Not found,
Big Business,2/17/2024,Tractor Tavern,Music,Fremont / Ballard,-122.38280295082915,47.6657081,4.83,3.2,7.83,91,light rain,light rain
Carl Christensen and The Lake Flora Band,2/17/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
David Wax Museum,2/17/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard,-122.349792,47.6592234,4.47,2.79,7.42,90,light rain,light rain
Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
lespecial,2/17/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Saturday Family Concert: Lady A,2/17/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South,-122.24000381780328,47.38765995,6.39,3.21,8.28,81,overcast clouds,overcast clouds
Victor Andy Castillo,2/17/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.24,21.03,23.42,21,clear sky,clear sky
A Case for the Existence of God,Now through 2/18/2024,ACT Theatre,Theatre,Downtown,-122.3323262,47.6108495,4.7,2.79,7.56,90,light rain,light rain
Northwest Flower & Garden Festival,Now through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown,-122.33156275066185,47.61175385,4.7,2.79,7.56,90,light rain,light rain
The Princess Bride in Concert with the Seattle Symphony,Now through 2/18/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Mindi Abair Wine and Jazz Tour 2024,Now through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown,-122.339691,47.6148163,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle RV Show,Now through 2/18/2024,Lumen Field,Festivals & Special Events,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Dr. Joy Buolamwini,2/18/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
La Nef: Red Sky at Night,2/18/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Love Beyond Border,2/18/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard,-122.39177949359151,47.6683615,4.85,3.25,7.64,92,light rain,light rain
Skyler Floe Sextet,2/18/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.24,21.03,23.42,21,clear sky,clear sky
Steamboat – Nokosee Fields Trio,2/18/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.24,21.03,23.42,21,clear sky,clear sky
Community is a Radical Act of Love,2/19/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Black and Boujee,Now through 2/20/2024,Bainbridge Island Museum of Art,Museums,West,-122.51453295865404,47.6251322,4.7,3.14,7.77,91,overcast clouds,overcast clouds
From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Lukas Nelson,2/20/2024,The Showbox,Music,Downtown,-122.3394726,47.6085136,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West,-122.51453295865404,47.6251322,4.7,3.14,7.77,91,overcast clouds,overcast clouds
Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Trask,2/20/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District,,,Not found,Not found,Not found,Not found,Not found,
The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown,-122.339691,47.6148163,4.98,3.07,7.84,89,overcast clouds,overcast clouds
A I M by Kyle Abraham,2/21/2024,The Moore Theatre,Dance,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Bailen,2/22/2024,The Crocodile,Music,Downtown,-122.3490734,47.6146474,4.93,3.08,7.84,89,overcast clouds,overcast clouds
